node,name,type,neighbors,connections
"(:Node {priorityWeight: 0.9,activationQuery: node.priorityWeight > 0.8,name: important_location,description: A critical location in the system,lastAccessed: 2024-12-24T06:06:35.517000000Z,isActivated: true,id: 90de8f38-4ab9-4fb4-bd6c-f9b05bf29137,type: location,activationThreshold: 0.7})",important_location,location,[],1
"(:Node {priorityWeight: 0.8,activationQuery: node.priorityWeight > 0.7,name: task_node,description: A task that needs attention,lastAccessed: 2024-12-24T06:06:35.517000000Z,isActivated: true,id: 607cba15-9ae1-4811-b9fc-ddc4880e160a,type: task,activationThreshold: 0.6})",task_node,task,[],1
"(:Workflow {name: Error Handling Workflow,description: A basic workflow for handling errors,community: 0})",Error Handling Workflow,null,[],3
"(:Step {name: Error Start,description: Initial step when an error occurs})",Error Start,null,[],2
"(:Step {name: Log Error,description: Log the details of the error})",Log Error,null,[],2
"(:Step {name: Notify Admin,description: Notify the administrator about the error})",Notify Admin,null,[],2
"(:Step {name: Error End,description: Final step after error handling})",Error End,null,[],1
"(:Workflow {name: Web Search Workflow,description: A simple workflow for performing a web search,community: 1})",Web Search Workflow,null,[],9
"(:Step {name: Search Start,description: Initiate the web search process})",Search Start,null,[],2
"(:Step {name: Formulate Query,description: Formulate the search query})",Formulate Query,null,[],3
"(:Step {name: Execute Search,description: Execute the search query})",Execute Search,null,[],3
"(:Step {name: Analyze Results,description: Analyze the search results})",Analyze Results,null,[],2
"(:Step {name: Search End,description: Conclude the web search process})",Search End,null,[],1
"(:Data {purpose: Search Configuration,name: Search Parameters,format: JSON,type: Configuration,content: {\""max_results\"": 10, \""search_type\"": \""comprehensive\""}})",Search Parameters,Configuration,[],1
"(:Tool {endpoint: https://api.search.example,method: POST,name: Search Engine,description: Tool for executing web searches,type: API,community: 2})",Search Engine,API,[],1
"(:MetaWorkflow {name: Search With Error Handling,description: Combined workflow for search with error handling})",Search With Error Handling,null,[],8
"(:MetaTransformerCore {created: 2024-12-24T07:29:50.632000000Z,name: MetaTransformer Core,description: Core system for fractal workflow composition and tool indexing,version: 1.0.0})",MetaTransformer Core,null,[],3
"(:Workflow {created: 2024-12-24T07:24:24.104000000Z,name: Knowledge Source Identification,description: Identifies and validates AI knowledge sources,community: 3})",Knowledge Source Identification,null,[],2
"(:Workflow {created: 2024-12-24T07:24:24.104000000Z,name: Knowledge Extraction,description: Extracts relevant AI knowledge from sources,community: 4})",Knowledge Extraction,null,[],2
"(:Workflow {created: 2024-12-24T07:24:24.104000000Z,name: Knowledge Validation,description: Validates and verifies extracted knowledge,community: 5})",Knowledge Validation,null,[],2
"(:Step {created: 2024-12-24T07:24:28.630000000Z,name: Source Discovery,description: Discover potential AI knowledge sources,type: TASK})",Source Discovery,TASK,[],2
"(:Step {created: 2024-12-24T07:24:28.630000000Z,name: Source Evaluation,description: Evaluate source credibility and relevance,type: TASK})",Source Evaluation,TASK,[],2
